merchant_id,merchant_segment,region,month,transaction_volume,gross_revenue,operating_cost,chargebacks,sla_breaches,budget_revenue
1,Mid-Market,EMEA,2025-01-01,114095,1369.14,688.13,448,2,1334.1
1,Mid-Market,EMEA,2025-02-01,113762,1365.14,958.91,333,2,1380.24
1,Mid-Market,EMEA,2025-03-01,103746,1244.95,844.86,300,5,1264.83
1,Mid-Market,EMEA,2025-04-01,110962,1331.54,688.45,338,3,1356.15
1,Mid-Market,EMEA,2025-05-01,115122,1381.46,706.18,279,2,1403.97
1,Mid-Market,EMEA,2025-06-01,105344,1264.13,850.94,227,2,1289.88
2,SME,Americas,2025-01-01,30763,492.21,328.49,73,1,514.28
2,SME,Americas,2025-02-01,31744,507.9,301.22,85,1,516.83
2,SME,Americas,2025-03-01,34360,549.76,303.99,37,0,563.91
2,SME,Americas,2025-04-01,32863,525.81,360.08,55,0,533.65
2,SME,Americas,2025-05-01,33417,534.67,341.58,89,1,529.71
2,SME,Americas,2025-06-01,33938,543.01,282.41,36,0,523.53
3,SME,EMEA,2025-01-01,13476,215.62,139.53,31,0,212.88
3,SME,EMEA,2025-02-01,13107,209.71,118.87,16,0,203.44
3,SME,EMEA,2025-03-01,13423,214.77,139.16,24,2,208.75
3,SME,EMEA,2025-04-01,13024,208.38,104.84,48,0,197.58
3,SME,EMEA,2025-05-01,13445,215.12,133.16,20,2,216.62
3,SME,EMEA,2025-06-01,13174,210.78,130.72,38,0,211.91
4,SME,India,2025-01-01,24231,387.7,195.72,66,0,376.92
4,SME,India,2025-02-01,23342,373.47,210.36,64,0,356.99
4,SME,India,2025-03-01,22598,361.57,241.48,28,0,393.18
4,SME,India,2025-04-01,24300,388.8,239.97,58,0,379.32
4,SME,India,2025-05-01,23312,372.99,218.33,24,2,361.4
4,SME,India,2025-06-01,21813,349.01,223.83,40,1,350.37
5,SME,EMEA,2025-01-01,35511,568.18,348.39,75,2,584.06
5,SME,EMEA,2025-02-01,38030,608.48,367.29,67,1,600.17
5,SME,EMEA,2025-03-01,35025,560.4,402.46,128,3,582.36
5,SME,EMEA,2025-04-01,37721,603.54,385.54,80,0,631.35
5,SME,EMEA,2025-05-01,37653,602.45,424.63,64,0,633.6
5,SME,EMEA,2025-06-01,36977,591.63,309.44,103,1,575.75
6,Mid-Market,APAC,2025-01-01,113997,1367.96,661.2,192,1,1283.82
6,Mid-Market,APAC,2025-02-01,114657,1375.88,889.68,314,3,1377.14
6,Mid-Market,APAC,2025-03-01,112154,1345.85,743.22,276,4,1355.64
6,Mid-Market,APAC,2025-04-01,115951,1391.41,703.24,164,5,1366.75
6,Mid-Market,APAC,2025-05-01,116750,1401.0,709.18,407,3,1378.75
6,Mid-Market,APAC,2025-06-01,109897,1318.76,839.34,395,2,1275.37
7,Mid-Market,Americas,2025-01-01,146596,1759.15,906.11,509,1,1800.17
7,Mid-Market,Americas,2025-02-01,152592,1831.1,1004.05,222,1,1816.47
7,Mid-Market,Americas,2025-03-01,151079,1812.95,893.44,419,2,1815.84
7,Mid-Market,Americas,2025-04-01,149346,1792.15,1226.32,168,1,1904.69
7,Mid-Market,Americas,2025-05-01,161094,1933.13,1121.03,184,2,2002.21
7,Mid-Market,Americas,2025-06-01,151308,1815.7,1274.55,196,7,1801.97
8,SME,Americas,2025-01-01,35022,560.35,354.98,63,0,530.82
8,SME,Americas,2025-02-01,36023,576.37,308.83,75,0,570.69
8,SME,Americas,2025-03-01,35333,565.33,364.4,66,2,585.3
8,SME,Americas,2025-04-01,36220,579.52,396.19,107,1,580.68
8,SME,Americas,2025-05-01,34206,547.3,359.23,54,2,566.53
8,SME,Americas,2025-06-01,36772,588.35,384.88,46,1,567.66
9,Mid-Market,APAC,2025-01-01,106219,1274.63,901.22,186,1,1286.56
9,Mid-Market,APAC,2025-02-01,116424,1397.09,862.54,279,5,1421.86
9,Mid-Market,APAC,2025-03-01,101362,1216.34,609.45,301,3,1224.84
9,Mid-Market,APAC,2025-04-01,111355,1336.26,728.17,233,1,1351.63
9,Mid-Market,APAC,2025-05-01,115568,1386.82,811.42,248,5,1442.11
9,Mid-Market,APAC,2025-06-01,114781,1377.37,975.57,155,2,1443.66
10,Mid-Market,EMEA,2025-01-01,72312,867.74,478.03,171,4,807.6
10,Mid-Market,EMEA,2025-02-01,78823,945.88,518.47,276,2,949.8
10,Mid-Market,EMEA,2025-03-01,81597,979.16,680.8,88,1,984.94
10,Mid-Market,EMEA,2025-04-01,81835,982.02,685.99,242,0,978.56
10,Mid-Market,EMEA,2025-05-01,81870,982.44,614.44,278,2,1004.53
10,Mid-Market,EMEA,2025-06-01,77490,929.88,618.65,239,1,908.41
11,SME,EMEA,2025-01-01,24255,388.08,265.55,35,1,383.91
11,SME,EMEA,2025-02-01,25114,401.82,287.4,71,0,389.28
11,SME,EMEA,2025-03-01,24717,395.47,273.74,77,0,388.29
11,SME,EMEA,2025-04-01,23499,375.98,268.9,55,1,379.69
11,SME,EMEA,2025-05-01,24580,393.28,278.07,46,1,389.37
11,SME,EMEA,2025-06-01,25489,407.82,210.28,64,0,431.69
12,SME,Americas,2025-01-01,12952,207.23,120.75,36,1,202.05
12,SME,Americas,2025-02-01,11314,181.02,112.45,22,0,179.43
12,SME,Americas,2025-03-01,13481,215.7,115.21,36,1,213.86
12,SME,Americas,2025-04-01,12404,198.46,110.32,41,1,198.5
12,SME,Americas,2025-05-01,13887,222.19,133.99,44,2,221.05
12,SME,Americas,2025-06-01,11811,188.98,104.97,41,0,192.45
13,SME,Americas,2025-01-01,34442,551.07,308.7,52,0,520.79
13,SME,Americas,2025-02-01,34356,549.7,372.98,122,0,564.46
13,SME,Americas,2025-03-01,33685,538.96,274.18,70,3,546.48
13,SME,Americas,2025-04-01,32215,515.44,295.39,94,0,527.67
13,SME,Americas,2025-05-01,35545,568.72,295.34,53,2,553.57
13,SME,Americas,2025-06-01,37276,596.42,306.55,87,0,622.45
14,Mid-Market,India,2025-01-01,111126,1333.51,697.99,413,0,1270.87
14,Mid-Market,India,2025-02-01,116781,1401.37,837.53,322,1,1330.47
14,Mid-Market,India,2025-03-01,108498,1301.98,824.18,319,2,1262.59
14,Mid-Market,India,2025-04-01,117173,1406.08,789.13,414,5,1362.54
14,Mid-Market,India,2025-05-01,106131,1273.57,763.78,275,1,1286.34
14,Mid-Market,India,2025-06-01,113463,1361.56,711.55,228,1,1334.89
15,SME,APAC,2025-01-01,17780,284.48,155.53,55,2,295.13
15,SME,APAC,2025-02-01,17615,281.84,196.39,55,3,298.73
15,SME,APAC,2025-03-01,16791,268.66,164.62,49,2,283.34
15,SME,APAC,2025-04-01,16367,261.87,128.27,54,0,268.25
15,SME,APAC,2025-05-01,18056,288.9,206.48,40,1,283.46
15,SME,APAC,2025-06-01,17273,276.37,193.99,59,0,262.39
16,SME,APAC,2025-01-01,10678,170.85,113.73,38,2,167.7
16,SME,APAC,2025-02-01,12331,197.3,135.34,12,0,193.63
16,SME,APAC,2025-03-01,11767,188.27,108.5,43,1,174.64
16,SME,APAC,2025-04-01,12423,198.77,136.12,23,1,197.06
16,SME,APAC,2025-05-01,11387,182.19,95.65,14,0,174.02
16,SME,APAC,2025-06-01,11898,190.37,137.01,22,0,189.56
17,Mid-Market,India,2025-01-01,134288,1611.46,925.25,503,1,1692.09
17,Mid-Market,India,2025-02-01,138896,1666.75,880.84,146,3,1582.15
17,Mid-Market,India,2025-03-01,146880,1762.56,1074.82,272,2,1788.05
17,Mid-Market,India,2025-04-01,143167,1718.0,1130.71,396,2,1761.08
17,Mid-Market,India,2025-05-01,149577,1794.92,1238.2,276,4,1862.32
17,Mid-Market,India,2025-06-01,143178,1718.14,1160.63,530,2,1795.37
18,Mid-Market,APAC,2025-01-01,138436,1661.23,811.68,537,1,1545.59
18,Mid-Market,APAC,2025-02-01,133405,1600.86,943.27,339,1,1551.35
18,Mid-Market,APAC,2025-03-01,139759,1677.11,829.38,432,1,1665.96
18,Mid-Market,APAC,2025-04-01,144696,1736.35,834.14,193,1,1725.38
18,Mid-Market,APAC,2025-05-01,131638,1579.66,884.52,301,3,1471.58
18,Mid-Market,APAC,2025-06-01,129670,1556.04,1002.06,218,2,1503.78
19,Mid-Market,India,2025-01-01,123156,1477.87,1035.27,126,1,1406.05
19,Mid-Market,India,2025-02-01,110353,1324.24,712.43,298,2,1361.22
19,Mid-Market,India,2025-03-01,135497,1625.96,843.97,449,4,1713.04
19,Mid-Market,India,2025-04-01,131384,1576.61,1064.46,256,3,1611.61
19,Mid-Market,India,2025-05-01,128282,1539.38,749.92,261,0,1513.69
19,Mid-Market,India,2025-06-01,116367,1396.4,907.58,374,3,1404.9
20,Mid-Market,India,2025-01-01,132276,1587.31,763.44,138,2,1599.16
20,Mid-Market,India,2025-02-01,141804,1701.65,1035.77,406,1,1637.82
20,Mid-Market,India,2025-03-01,145108,1741.3,1113.16,509,0,1793.31
20,Mid-Market,India,2025-04-01,148985,1787.82,1233.12,262,4,1846.82
20,Mid-Market,India,2025-05-01,140556,1686.67,1207.69,317,1,1657.43
20,Mid-Market,India,2025-06-01,143281,1719.37,993.64,183,3,1660.6
21,SME,EMEA,2025-01-01,14613,233.81,124.13,35,2,232.99
21,SME,EMEA,2025-02-01,15258,244.13,160.02,51,1,241.35
21,SME,EMEA,2025-03-01,13843,221.49,148.74,17,0,233.7
21,SME,EMEA,2025-04-01,14143,226.29,161.8,30,2,228.77
21,SME,EMEA,2025-05-01,16671,266.74,165.23,37,2,274.01
21,SME,EMEA,2025-06-01,14407,230.51,132.45,20,0,233.45
22,SME,India,2025-01-01,35775,572.4,378.27,130,0,586.67
22,SME,India,2025-02-01,35968,575.49,348.33,86,0,580.3
22,SME,India,2025-03-01,36612,585.79,416.05,108,0,551.37
22,SME,India,2025-04-01,38532,616.51,339.54,126,5,621.85
22,SME,India,2025-05-01,40956,655.3,401.5,52,1,644.34
22,SME,India,2025-06-01,37768,604.29,326.79,55,1,588.66
23,SME,Americas,2025-01-01,19981,319.7,212.72,32,1,317.54
23,SME,Americas,2025-02-01,18610,297.76,161.83,65,0,301.31
23,SME,Americas,2025-03-01,20432,326.91,176.16,63,2,332.1
23,SME,Americas,2025-04-01,21235,339.76,183.05,31,3,358.94
23,SME,Americas,2025-05-01,19711,315.38,192.0,45,0,315.44
23,SME,Americas,2025-06-01,20325,325.2,193.72,78,0,330.95
24,SME,India,2025-01-01,16798,268.77,188.15,33,1,271.1
24,SME,India,2025-02-01,15814,253.02,132.82,62,2,256.45
24,SME,India,2025-03-01,16485,263.76,148.22,18,0,259.93
24,SME,India,2025-04-01,17906,286.5,189.15,60,0,287.63
24,SME,India,2025-05-01,15294,244.7,154.98,15,1,239.25
